"sample_id","dataset","platform","title"
"GSM659107","GSE26787","GPL570","RT3E35"
"GSM659108","GSE26787","GPL570","RT2E10"
"GSM659109","GSE26787","GPL570","RT4E01"
"GSM659110","GSE26787","GPL570","RT4E10"
"GSM659111","GSE26787","GPL570","RT5E35"
"GSM659112","GSE26787","GPL570","RT5E47"
"GSM659113","GSE26787","GPL570","RT4E11"
"GSM659114","GSE26787","GPL570","RT5E03"
"GSM659115","GSE26787","GPL570","RT6E07"
"GSM659116","GSE26787","GPL570","RT4E05"
"GSM659117","GSE26787","GPL570","RT5E36"
