"sample_id","dataset","platform","title","group"
"GSM1256751","GSE51981","GPL570","50","Control"
"GSM1256752","GSE51981","GPL570","51","Control"
"GSM1256753","GSE51981","GPL570","41","Control"
"GSM1256754","GSE51981","GPL570","42","Control"
"GSM1256755","GSE51981","GPL570","66","Control"
"GSM1256756","GSE51981","GPL570","43","Control"
"GSM1256757","GSE51981","GPL570","67","Control"
"GSM1256758","GSE51981","GPL570","68","Control"
"GSM1256759","GSE51981","GPL570","44","Control"
"GSM1256760","GSE51981","GPL570","45","Control"
"GSM1256761","GSE51981","GPL570","46","Control"
"GSM1256762","GSE51981","GPL570","47","Control"
"GSM1256763","GSE51981","GPL570","48","Control"
"GSM1256764","GSE51981","GPL570","52","Control"
"GSM1256765","GSE51981","GPL570","53","Control"
"GSM1256766","GSE51981","GPL570","29","Control"
"GSM1256767","GSE51981","GPL570","30","Control"
"GSM1256768","GSE51981","GPL570","31","Control"
"GSM1256769","GSE51981","GPL570","32","Control"
"GSM1256770","GSE51981","GPL570","9","Control"
"GSM1256771","GSE51981","GPL570","10","Control"
"GSM1256772","GSE51981","GPL570","11","Control"
"GSM1256773","GSE51981","GPL570","148","Disease"
"GSM1256774","GSE51981","GPL570","86","Disease"
"GSM1256775","GSE51981","GPL570","99","Disease"
"GSM1256776","GSE51981","GPL570","87","Disease"
"GSM1256777","GSE51981","GPL570","116","Disease"
"GSM1256778","GSE51981","GPL570","84","Disease"
"GSM1256779","GSE51981","GPL570","101","Disease"
"GSM1256780","GSE51981","GPL570","146","Disease"
"GSM1256781","GSE51981","GPL570","147","Disease"
"GSM1256782","GSE51981","GPL570","117","Disease"
"GSM1256783","GSE51981","GPL570","70","Control"
"GSM1256784","GSE51981","GPL570","12","Control"
"GSM1256785","GSE51981","GPL570","13","Control"
"GSM1256786","GSE51981","GPL570","14","Control"
"GSM1256787","GSE51981","GPL570","26","Control"
"GSM1256788","GSE51981","GPL570","15","Control"
"GSM1256789","GSE51981","GPL570","69","Control"
"GSM1256790","GSE51981","GPL570","54","Control"
"GSM1256791","GSE51981","GPL570","33","Control"
"GSM1256792","GSE51981","GPL570","55","Control"
"GSM1256793","GSE51981","GPL570","16","Control"
"GSM1256794","GSE51981","GPL570","49","Control"
"GSM1256795","GSE51981","GPL570","71","Control"
"GSM1256796","GSE51981","GPL570","17","Control"
"GSM1256797","GSE51981","GPL570","34","Control"
"GSM1256798","GSE51981","GPL570","18","Control"
"GSM1256799","GSE51981","GPL570","19","Control"
"GSM1256800","GSE51981","GPL570","20","Control"
"GSM150190","GSE6364","GPL570","PE_D_26A","Disease"
"GSM150191","GSE6364","GPL570","PE_D_508","Disease"
"GSM150192","GSE6364","GPL570","PE_D_587","Disease"
"GSM150193","GSE6364","GPL570","PE_D_594","Disease"
"GSM150194","GSE6364","GPL570","PE_D_647","Disease"
"GSM150195","GSE6364","GPL570","PE_D_651","Disease"
"GSM150196","GSE6364","GPL570","PE_N_562","Control"
"GSM150197","GSE6364","GPL570","PE_N_598","Control"
"GSM150198","GSE6364","GPL570","PE_N_M165","Control"
"GSM150199","GSE6364","GPL570","PE_N_M169","Control"
"GSM150201","GSE6364","GPL570","PE_N_M182","Control"
"GSM150202","GSE6364","GPL570","ESE_D_27A","Disease"
