"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
0.35069366425892,6.87280218919811,0.948868922394858,0.346492697949216,0.600396581018489,-6.06354963548124,"A1BG"
-0.0161290650522457,9.81304388224349,-0.203315371910571,0.83957633451263,0.924898260302706,-6.48730064927504,"A1BG-AS1"
0.0615516768033064,12.3845235722317,0.534763438188501,0.594789262240301,0.789932314684536,-6.36599498002187,"A1CF"
0.247785356120184,11.9162085830185,3.33746813878134,0.00145571047895953,0.0209945197221796,-1.43725237394483,"A2M"
-0.0365629264992453,9.8791385097072,-0.307256304005539,0.759711973199409,0.884556306436272,-6.46094264485985,"A2ML1"
-0.178943941754266,5.46283819904247,-1.07500520817982,0.286675390268805,0.539105804400263,-5.93879500730354,"A4GALT"
0.136028952341939,5.41470795004403,1.13073534304375,0.262665068612468,0.514524295794677,-5.87891194673219,"AAAS"
0.365845399071585,7.42168687133595,2.39347853748056,0.0198332404977903,0.113299177329277,-3.78992481278829,"AACS"
0.271414607771996,10.4513361198977,1.82042138337742,0.0736818728996398,0.248199169160193,-4.90485357350488,"AACSP1"
0.0808542791456635,8.20588211397338,0.579287558776997,0.564563325370713,0.771051290460436,-6.34146037553929,"AADAC"
-0.0312178238259833,10.5550711930984,-0.214830715899902,0.830627651447653,0.91945371288644,-6.48490814695981,"AADAT"
0.0373092165455686,4.80498134787634,0.209622236336311,0.834672497038958,0.921689517031389,-6.48600659195446,"AAGAB"
-0.164173146287732,12.3604055980021,-0.785844739110822,0.435050211664595,0.673779225931707,-6.20237663046862,"AAK1"
0.0332800685901935,5.5253262557524,0.326160593678929,0.745437493645668,0.877414752049359,-6.45499864165023,"AAMP"
-0.13278125088655,6.6041634722089,-1.70757382573768,0.0928842469088066,0.284630439784907,-5.09283971132494,"AANAT"
-0.2729536071779,4.84278227635129,-1.96147873235425,0.0544670448090534,0.208272181472721,-4.65484982717992,"AARS"
0.0745286558051497,7.72725420671113,0.69495647183551,0.489764583873758,0.717718459796062,-6.26867836684499,"AARS2"
0.118998781377211,10.9063226921316,1.16078338418602,0.250326522537995,0.499781052286862,-5.84542278893952,"AARSD1"
0.048930513329621,11.4450156436272,0.522101554117728,0.603521458703752,0.79593442759848,-6.37261757518735,"AASDHPPT"
-0.272522781782517,5.56956309595399,-2.23181840107075,0.0293725394813419,0.14345099484352,-4.13061198026097,"AATF"
-0.106535481791635,11.7448416185834,-0.822474957318799,0.414062596349517,0.656984584981004,-6.17340162191361,"AATK"
-0.6341842304287,10.1354307758426,-3.43196778052498,0.00109082822334845,0.0174026461405332,-1.17126212393023,"ABAT"
0.31200340043077,6.08049780226449,3.45300991390612,0.00102232561434283,0.0165833216791985,-1.11136117162768,"ABCA1"
0.104921503911721,5.49760560796812,0.844880081351071,0.401533450667038,0.646096679822692,-6.15504321330871,"ABCA11P"
-0.232613578866029,6.15360733477563,-1.66543243067361,0.101038827570376,0.298147813229357,-5.16025142856284,"ABCA12"
0.0349260254049124,5.70223297876609,0.253112305694293,0.801046449463725,0.905113180573625,-6.47600904069731,"ABCA13"
0.0181776552092652,4.72522068284941,0.182306057320171,0.85595695989464,0.93328115648204,-6.49132659746035,"ABCA17P"
0.159824524283253,5.59329693808236,1.29863312838718,0.199037719247898,0.442417222832694,-5.6810879020443,"ABCA2"
-0.426396895314629,7.5477346802802,-4.67433190674659,1.7149581334737e-05,0.00084519035399699,2.72252483926061,"ABCA3"
0.213765194015876,8.91336339311832,1.51269419430179,0.135605895206511,0.353461551005686,-5.39164600003378,"ABCA4"
-0.018321048418338,5.85558456009603,-0.229478593492715,0.819277253395072,0.9139017872863,-6.48167470033738,"ABCA5"
0.474687205870962,6.96187609709076,2.04792426543892,0.0449505154983106,0.185347515943607,-4.49356351662841,"ABCA6"
-0.0508495856513518,4.90599510740267,-0.362508193066046,0.718245815174455,0.862792930100412,-6.44257701154774,"ABCA7"
-0.487460014570742,13.8393146584852,-4.44422974399136,3.8655955025431e-05,0.00152992558572518,1.95350397736195,"ABCA8"
0.0390980568906283,12.6557642649685,0.382974687528453,0.703091683657558,0.852892043944557,-6.43500824775594,"ABCB1"
0.0837288714180202,4.47807582767432,0.896824110522936,0.37339628635419,0.623322902352321,-6.11063097824041,"ABCB10"
0.15996397852834,5.18171022634806,1.26706224093684,0.210027998310242,0.45544685343875,-5.72026683029317,"ABCB11"
-0.0283632652934784,14.1306405974121,-0.203737674491633,0.839247775691446,0.924772840840747,-6.48721523325874,"ABCB4"
-0.383906047350257,12.5416406430381,-1.98348966923572,0.0518933527832169,0.202534586209403,-4.61435882623825,"ABCB5"
0.00665773777346512,5.89790756209119,0.0580018393366003,0.953939856944406,0.980092207335468,-6.50617532989148,"ABCB6"
0.0944507683259586,5.88071459693458,0.85176475105443,0.39773081397557,0.643283697895989,-6.14930529454652,"ABCB8"
0.0712439659555333,12.1257059808701,0.929757571402964,0.356221431561228,0.608849862316104,-6.08113795612591,"ABCC1"
0.0797992703100814,6.13402738501574,0.689170654959939,0.493371856972263,0.72031129176272,-6.27262824418446,"ABCC12"
0.105394714910551,10.7774621339844,0.974759522964669,0.33359228965214,0.589263589000143,-6.03916907970984,"ABCC13"
0.0896123614148312,8.47073260868492,0.796415322931436,0.428929940942335,0.668813177653954,-6.19414770996874,"ABCC2"
-0.435722127439679,5.58941394115808,-1.26987087952838,0.209032382177595,0.454450142483602,-5.71681831977495,"ABCC3"
-0.363493136300717,5.01887302586731,-2.66051733326516,0.00999323441497389,0.0745637910181875,-3.18492390187038,"ABCC4"
-0.46877303219833,8.85791270431848,-1.6352920049595,0.107222629431276,0.30818116761747,-5.20752543877356,"ABCC5"
0.183016089661116,12.1154522477684,0.651981453724635,0.516902424671266,0.736772684066848,-6.29724043401118,"ABCC6"
-0.00120953895517406,6.44971997186168,-0.0107769721822845,0.991437132213893,0.996784163157142,-6.50779036996852,"ABCC8"
0.0646777769208597,11.2864385380987,0.568907338793048,0.571542012482195,0.775556640108463,-6.3473537249069,"ABCC9"
0.0804778319219999,10.960668848259,0.679355826117048,0.49952430581779,0.723930456820491,-6.27925433741221,"ABCD1"
-0.676264413310765,13.5056654026259,-5.12950795599175,3.28460476404313e-06,0.000235320642238738,4.29271844540176,"ABCD2"
0.233107032460028,12.4689067017661,1.9152747886887,0.0602261822246216,0.221350416562354,-4.73855446295276,"ABCD3"
0.0558968211363169,6.15470342785264,0.736912291163708,0.464046848370564,0.699792925751335,-6.23906493722941,"ABCD4"
0.26437163434748,9.97212567786915,1.0019942978278,0.32036935053162,0.575645484609456,-6.01283735257268,"ABCE1"
-0.242241193286926,5.7704601808883,-2.11039846012603,0.0390006974971917,0.169818737695285,-4.3732555425327,"ABCF2"
-0.0117816913616871,4.26253019245853,-0.0958456793423437,0.923962469779488,0.965450318692611,-6.50328058661407,"ABCF3"
0.06017351585374,5.70296057140309,0.552699208764229,0.582522236048349,0.783055212200156,-6.35634505954541,"ABCG1"
0.198984757248044,5.46140318143298,1.53630431086271,0.129719529038009,0.344738058022186,-5.35721436042093,"ABCG2"
0.0106552886304767,6.99609522006766,0.052994273881448,0.957912479009192,0.981910424252711,-6.50645169444802,"ABCG4"
0.235710181908384,9.71269993079705,2.65464184702398,0.0101499457964845,0.0753403995756612,-3.19878184319181,"ABCG5"
-0.0670626338240581,8.95452238241853,-0.964451449392646,0.338689916319724,0.592697778474244,-6.04895212937641,"ABCG8"
-0.116244746456229,5.0852001611019,-0.878664507598823,0.383087667000963,0.6317253431352,-6.12645089409631,"ABHD1"
-0.418461899441217,10.156492981082,-4.05243158944594,0.000147949956926102,0.00428750109256822,0.689633144421865,"ABHD10"
0.322501977368683,8.93948044761953,3.52786277722166,0.000810273015955809,0.0141567731737403,-0.896332218849325,"ABHD11"
-0.186395118041698,9.10357971801142,-1.1517567641106,0.253988718688291,0.50386902893584,-5.85557137199479,"ABHD12"
-0.136070375419179,13.0932881466825,-2.06239298884954,0.0435068072947798,0.181611962725931,-4.46597851997925,"ABHD12B"
-0.157295787728193,5.3789962150261,-1.74170951423002,0.0866828262750683,0.273738611589279,-5.03711735473602,"ABHD14A"
0.289082952089314,4.37985852378242,2.24362917598415,0.0285584746746878,0.141376326164681,-4.10639653912224,"ABHD15"
-0.030345855306372,8.34132428729619,-0.333533793488514,0.739893933219109,0.874564118124176,-6.45258448376162,"ABHD16A"
-0.0495995813206855,6.26601541321049,-0.304038396317632,0.762150325701685,0.885921752439989,-6.46191921782995,"ABHD2"
0.179803247540247,6.42545605376442,2.07976266253393,0.0418268228777356,0.177043239615142,-4.43264116819607,"ABHD3"
-0.0831047419119715,5.48482106444568,-0.884131305579845,0.380153667030031,0.628982999817142,-6.12172158742322,"ABHD4"
-0.0548712526636574,10.6707474259422,-0.346495344637456,0.730182414211762,0.86951357106267,-6.4482102609613,"ABHD5"
-0.067009164731461,11.8103795760818,-0.571161162461447,0.570023182811819,0.774729421171354,-6.34608307684207,"ABHD6"
-0.0230314748288265,9.40494130398432,-0.13052981371693,0.896583819964762,0.95260107201886,-6.49937726727246,"ABHD8"
0.17504865185753,9.67012268791093,2.34179212022991,0.0225284493932005,0.121983119090195,-3.90100149527251,"ABI1"
-0.193722071964824,4.79466791630519,-1.5307116192568,0.131095165525495,0.346548972754873,-5.3654149283536,"ABI3"
0.0822372683269919,7.22980469204928,0.539076533049185,0.591828324934913,0.788177889939386,-6.36370320150224,"ABI3BP"
-0.141165628785783,10.4106478492453,-2.38014130520216,0.0204995931939335,0.115566923379279,-3.81877852252624,"ABL1"
-0.0355165475533568,14.465688197448,-0.395769935130128,0.6936782305117,0.848189730397772,-6.43006634106684,"ABL2"
-0.0170961375620156,11.9619325959088,-0.159491064299427,0.873817554247225,0.941459588691469,-6.49520223032642,"ABLIM1"
0.167583615817182,6.80157945257539,1.27967110252297,0.205585818863434,0.450565153223571,-5.70472879755288,"ABLIM2"
-0.289446108544736,10.0335664668779,-2.0322468627467,0.0465613931877934,0.189419563913957,-4.52326287460075,"ABLIM3"
-0.247846371400662,10.6761809487765,-2.97398194615173,0.00422876684585215,0.0427219533041725,-2.41173449642408,"ABO"
0.000354467006235204,6.81077408828198,0.00462662699331359,0.996323843976785,0.99889465875287,-6.50783747767396,"ABR"
0.207823736221615,9.49146013301487,1.07623763257253,0.286128494027585,0.538321314011462,-5.93750216584127,"ABRA"
0.114156008282587,5.80534254483608,0.848399408196513,0.399586819470539,0.644999064494272,-6.15211576318213,"ABTB1"
-0.281557270848418,4.58522010033675,-2.45610144928134,0.0169567231443446,0.103227887749305,-3.65268344137897,"ABTB2"
-0.141881493712377,11.7100866146007,-0.641209102877904,0.523828089809307,0.742329641922988,-6.30411844088541,"ACAA1"
0.110748081332903,5.69953418640918,0.790198819690206,0.432523002578135,0.671747637986415,-6.19900013010472,"ACACA"
-0.261319460659823,5.93908460750164,-1.6366477356757,0.106938023365509,0.307848908304693,-5.20541594119432,"ACACB"
-0.0959513550735389,6.4998329595271,-1.01397129116995,0.314667021184705,0.570015357149686,-6.00103550039923,"ACAD10"
0.135484786378719,5.94383568653217,1.56701297587003,0.122369721968247,0.333569041299741,-5.31169522511893,"ACAD11"
-0.194174891424732,4.7334608074274,-1.37488538600978,0.17427852143033,0.40935491775327,-5.58271569512892,"ACAD8"
-0.080522036768528,4.97645833023818,-0.691259783131832,0.49206767174498,0.719672381567139,-6.27120577994837,"ACAD9"
0.138210546099977,13.9480449573489,2.07160944975439,0.0426082577333297,0.179153844304535,-4.44831956972094,"ACADL"
0.208682909185812,10.3869136470374,1.11778077634214,0.268115296867283,0.520653057977312,-5.89309070882296,"ACADM"
-0.157294404313741,6.73748077217722,-1.29966493095287,0.198685943865948,0.44210442698094,-5.67979208114434,"ACADS"
0.261340075529715,11.060349161044,2.42703508514813,0.0182416558335051,0.107950143030016,-3.7167440650061,"ACADSB"
0.189973565268795,6.85563313225929,1.82053926452658,0.0736637004585279,0.248199169160193,-4.90465156745396,"ACADVL"
-0.231988701022527,12.0369857603184,-0.980765640092453,0.330645615814739,0.586477913847651,-6.03342244818268,"ACAN"
0.154256815815059,5.48552213741229,1.15658647577269,0.252024524980512,0.501876145164511,-5.85015076720238,"ACAP1"
0.132769173077181,12.4863920330816,1.94448680268453,0.05652782423185,0.213046293226468,-4.68583689580981,"ACAP2"
-0.199903563400111,5.01550731688431,-1.84924975253609,0.0693482659246921,0.239012119194791,-4.85510485135883,"ACAP3"
-0.153764857170627,9.45448063461123,-1.15612992491559,0.252209733535158,0.50198657575004,-5.85066410255667,"ACAT1"
-0.145715000444488,4.9838851200548,-0.977782225082469,0.332107150839707,0.588027249341473,-6.03628123992799,"ACAT2"
0.342918844261049,4.95235607432152,1.47244584026021,0.146125754252205,0.370525569302185,-5.44920327406531,"ACBD3"
0.420436563382431,11.9850995653363,4.91108724538442,7.30977535598634e-06,0.000447109777209046,3.5317752962249,"ACBD4"
-0.083280234536419,6.14483225090427,-0.68128870314106,0.498309383628913,0.722937807773494,-6.27795682911695,"ACBD5"
0.0574739949261378,10.8261480995425,0.649899926513051,0.518236861946894,0.737960471208886,-6.2985782669848,"ACBD6"
0.19803043656719,4.53845728995702,1.56077273514912,0.123835626741863,0.335908207507508,-5.3210122150747,"ACCS"
-0.214614960413517,4.66953134322573,-1.55974650750291,0.124078039291723,0.336271043439476,-5.32254114877105,"ACD"
-0.173787884111531,9.25742229058071,-2.45415645754957,0.0170400938030467,0.103491150550293,-3.65698947636023,"ACE"
0.192038472849889,6.21506899946967,1.66357801820399,0.101410694827597,0.298661477462256,-5.16318269298289,"ACE2"
-0.165002731587313,7.81138693699016,-1.87700258945914,0.0653810624311619,0.232323683407278,-4.80655569258061,"ACER1"
0.0856282395551666,4.99178689797094,0.856652828677299,0.395044517919547,0.641010161980181,-6.14520382702565,"ACER3"
0.0363584027231099,5.7622212903564,0.239294761179526,0.81169237448264,0.910015177506256,-6.4793887361187,"ACHE"
0.0933939252397913,8.27699061981899,0.951648475621648,0.345092332191464,0.598995031801803,-6.060962678002,"ACIN1"
-0.0731580449706799,5.61439410994027,-0.35849410134363,0.721231597615824,0.864394282303662,-6.44401294632373,"ACLY"
-0.0386491771169508,6.32435720246744,-0.389307699513469,0.698426547825767,0.850299018771438,-6.43258244247991,"ACMSD"
-0.157889144626869,6.43498488522538,-1.90958776139555,0.06096960965296,0.222945347206889,-4.74873576876649,"ACN9"
-0.287922946399661,10.2007752886408,-3.00171092071181,0.00390826948796449,0.0407275894452865,-2.34024219124612,"ACO1"
0.215930956246856,14.8965267190219,2.85426995873943,0.00591296229995424,0.0528003990720091,-2.71471366904939,"ACO2"
0.0746182954924342,4.99069294996124,0.67196149471813,0.504186905383013,0.727418642625594,-6.28418452919104,"ACOT1"
0.00191318037275945,6.97490741274352,0.023110006864804,0.981639191639744,0.992734910936857,-6.50758255771019,"ACOT11"
-0.0247911732787296,4.73871282096473,-0.162529480910455,0.871434926346016,0.940473916256685,-6.49471592391775,"ACOT7"
0.159800332593436,5.11844091382877,1.57921342962684,0.119543870732704,0.329464185144895,-5.29338062526652,"ACOT8"
-0.136525671720479,8.11289296115522,-0.542114980309751,0.589746607174418,0.78734019856255,-6.36207776777037,"ACOT9"
-0.0115609977395152,7.94395332862697,-0.186844687778483,0.852412610218172,0.931922198604102,-6.4904939762809,"ACOX1"
0.331912285673955,9.94875630032113,3.52121680369209,0.000827261144341681,0.014384119335604,-0.915545528486599,"ACOX2"
0.178367169684166,6.9237022844927,1.02421502657553,0.30984449556385,0.565563053650694,-5.9908341476967,"ACOX3"
0.036853088840294,11.4241492291894,0.356884064580764,0.722430411533094,0.865349210527385,-6.44458442124359,"ACOXL"
0.335582670867502,6.11049424273911,2.97481399075724,0.00421880436236023,0.0427219533041725,-2.40959637706647,"ACP1"
0.114075935760036,12.2359421780364,0.731090731530758,0.467568623122285,0.702060711798656,-6.24327579584355,"ACP5"
0.0309878302648965,8.03510907174967,0.466989864671908,0.642198142825768,0.818176476918671,-6.39960991223997,"ACPP"
0.264980277996749,12.8096633404758,2.0444947895019,0.0452987233535648,0.186089127660317,-4.50007724347424,"ACR"
-0.254407685424194,8.9880953954659,-1.3595754302871,0.179050783162897,0.415723006559237,-5.60289007429716,"ACRBP"
0.480269643265813,7.9289640078488,1.54263852873581,0.12817540029446,0.342871965351213,-5.3478931748866,"ACRV1"
0.0198097764994056,10.0562577420333,0.0934207900483753,0.925880457956133,0.966410366037445,-6.50350876270231,"ACSBG1"
0.248608137343044,5.80592005800626,2.17871193492979,0.0332910017340524,0.155408220764543,-4.23815905894542,"ACSBG2"
-0.00342173342104779,7.332179696673,-0.0434693876313871,0.965471674855566,0.985830616236372,-6.50690854792083,"ACSF2"
-0.149689387459625,4.96023100951193,-1.07677060845049,0.285892206522497,0.538217861579894,-5.93694262085353,"ACSF3"
0.0503022232118333,13.4552567448284,0.637611053532715,0.52615213803502,0.74391999416098,-6.30639057642166,"ACSL1"
0.22605673189217,8.61425247969845,1.16694629208548,0.247847976031042,0.497657639688643,-5.83845039740948,"ACSL3"
0.115642330679917,4.93570093144697,0.701793350668017,0.485520829391801,0.714884380098774,-6.26396908104969,"ACSL4"
-0.235278034420423,8.91435401370634,-1.06238994488073,0.292315110529002,0.545611038561515,-5.9519467762761,"ACSL5"
0.287061002757971,10.3337528640255,2.7287099746393,0.00832928514211592,0.0662022021439363,-3.02233778339845,"ACSL6"
-0.266983115065328,9.88106317714518,-3.24710836804085,0.00191011785064929,0.0254162284942371,-1.68685560891401,"ACSM2A"
-0.124802545787229,7.91800500871558,-1.32248416184682,0.191024784953136,0.432179612156401,-5.65088575219204,"ACSM3"
-0.451222185357311,5.96427540315721,-2.65499601134854,0.0101404363454329,0.0753352148082449,-3.19794719075807,"ACSM5"
-0.0261912942816718,8.14961335898298,-0.20963784948604,0.834660365284469,0.921689517031389,-6.48600333943444,"ACSS1"
0.0752501930631899,5.57015605306671,0.83065914507501,0.409458669054594,0.653585935727562,-6.16675148838772,"ACSS3"
-0.743415439890885,7.68428495656096,-5.19036827451165,2.62290830192135e-06,0.000196084569914169,4.50697569069019,"ACTA1"
0.0512665448405087,5.0678231927786,0.405349383525669,0.686662126797582,0.843876779875523,-6.42626073837454,"ACTA2"
-0.00950937681169783,13.9181086654277,-0.0616984356065534,0.951008005055717,0.978709109412597,-6.50595532040029,"ACTB"
0.504661743435697,12.5268149320675,3.80885547283241,0.000330750792124001,0.00769367912118739,-0.0632329398101561,"ACTG2"
0.268383745920877,4.41831630413055,1.4243094967419,0.159536087615106,0.390512647238812,-5.51614538169023,"ACTL6A"
-0.00761682002654318,5.98765728926607,-0.0476864081536293,0.9621245045249,0.98429905252244,-6.50671741065594,"ACTL7A"
0.00790891512186143,7.51249495443909,0.0360774303164374,0.971340352301421,0.988010646185158,-6.50720092358597,"ACTL7B"
-0.0486581399536794,7.28133097698627,-0.376163226270753,0.708122082866391,0.856576974310748,-6.4375731308788,"ACTL8"
-0.0992485085443917,13.9041329966396,-1.25959962733562,0.212690460083964,0.458346312463354,-5.72939446752548,"ACTN1"
0.208488836120413,14.3940902671816,2.6596596486555,0.0100159721002282,0.0746974304824246,-3.18694833717528,"ACTN2"
0.514234402964487,9.07573437816712,3.65221003169972,0.000547470385771438,0.0109742282640065,-0.532584593154692,"ACTN3"
0.425487877143799,4.19613498115375,2.75900392642453,0.0076749967151847,0.0630751854314834,-2.94908829623995,"ACTN4"
-0.142241475723679,12.3213011498666,-1.56251010818851,0.123426093342013,0.335425534164714,-5.31842166621527,"ACTR10"
-0.0261862398945487,5.34597582702393,-0.186058126857004,0.853026642042503,0.932244864802806,-6.49063973743596,"ACTR1A"
0.0109211195923251,10.0967222549895,0.117026385400856,0.907229902934645,0.957298646990866,-6.5010390528954,"ACTR1B"
-0.251740373338466,5.64055053360923,-2.11260978891987,0.038803292619059,0.169292628497304,-4.36894013687891,"ACTR2"
-0.0606462257710554,12.7077352546237,-0.0954182993185483,0.924300477318442,0.965542722188665,-6.50332122631879,"ACTR3"
-0.178578865094895,12.2910662913743,-1.62591380071482,0.109208260664209,0.311061629629786,-5.22207407485562,"ACTR3B"
0.347327324616765,4.80384632585507,2.03325774196893,0.046456041330572,0.189285739755293,-4.52135383229122,"ACTR3BP2"
