"sample_id","dataset","platform","title","group"
"GSM5024388","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_21","UIF"
"GSM5024389","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_22","UIF"
"GSM5024390","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_23","UIF"
"GSM5024391","GSE165004","GPL16699","Endometrial_Tissue_Fertile_UIF_24","UIF"
"GSM659103","GSE26787","GPL570","RT3E10","Control"
"GSM659104","GSE26787","GPL570","RT5E01","Control"
"GSM659105","GSE26787","GPL570","RT5E21","Control"
"GSM659106","GSE26787","GPL570","RT5E27","Control"
"GSM659107","GSE26787","GPL570","RT3E35","Control"
"GSM659108","GSE26787","GPL570","RT2E10","UIF"
"GSM659109","GSE26787","GPL570","RT4E01","UIF"
"GSM659110","GSE26787","GPL570","RT4E10","UIF"
"GSM659111","GSE26787","GPL570","RT5E35","UIF"
"GSM659112","GSE26787","GPL570","RT5E47","UIF"
"GSM659113","GSE26787","GPL570","RT4E11","Disease"
"GSM659114","GSE26787","GPL570","RT5E03","Disease"
"GSM659115","GSE26787","GPL570","RT6E07","Disease"
"GSM659116","GSE26787","GPL570","RT4E05","Disease"
"GSM659117","GSE26787","GPL570","RT5E36","Disease"
